step,mode,cosine_similarity,mae,mse,kl_divergence,baseline_argmax_token,test_argmax_token,argmax_match
0,baseline,0.9999895095825195,0.0,0.0,1.3969838619232178e-08,785,785,1
1,baseline,0.9999816417694092,0.0,0.0,-1.210719347000122e-08,3840,3840,1
2,baseline,1.000000238418579,0.0,0.0,2.8463546186685562e-08,315,315,1
3,baseline,0.9999953508377075,0.0,0.0,1.5133991837501526e-08,11050,11050,1
4,baseline,0.9999786019325256,0.0,0.0,5.471520125865936e-09,29728,29728,1
5,baseline,0.999982476234436,0.0,0.0,9.633367881178856e-09,3922,3922,1
6,baseline,0.9999954700469971,0.0,0.0,-2.7241185307502747e-08,44378,44378,1
7,baseline,0.9999918937683105,0.0,0.0,-1.979060471057892e-08,374,374,1
8,baseline,1.0000003576278687,0.0,0.0,0.0,785,785,1
9,baseline,1.0000202655792236,0.0,0.0,-1.2689270079135895e-08,3840,3840,1
10,baseline,1.0000046491622925,0.0,0.0,-5.9371814131736755e-09,315,315,1
11,baseline,0.9999792575836182,0.0,0.0,-2.7939677238464355e-08,11050,11050,1
12,baseline,1.0000041723251343,0.0,0.0,-5.238689482212067e-09,29728,29728,1
13,baseline,1.0000022649765015,0.0,0.0,-1.2194504961371422e-08,3922,3922,1
14,baseline,0.9999935626983643,0.0,0.0,3.259629011154175e-09,44378,44378,1
15,baseline,0.999987006187439,0.0,0.0,-4.6566128730773926e-09,374,374,1
0,int8,0.9999895095825195,0.0,0.0,1.3969838619232178e-08,785,785,1
1,int8,0.9999369382858276,0.02497846819460392,0.000982383149676025,2.429822416161187e-06,3840,3840,1
2,int8,0.9999300241470337,0.024365711957216263,0.0009463881724514067,1.975138275156496e-07,315,315,1
3,int8,0.9999593496322632,0.02456873469054699,0.000956856005359441,1.0400344763183966e-06,11050,11050,1
4,int8,0.9999368786811829,0.025801483541727066,0.0010911552235484123,2.54890636597338e-07,29728,29728,1
5,int8,0.9953811168670654,0.2607732117176056,0.10909585654735565,9.362531272927299e-06,3922,3922,1
6,int8,0.9998915791511536,0.04285129904747009,0.0029959999956190586,3.771856427192688e-06,44378,44378,1
7,int8,0.9999237060546875,0.025495104491710663,0.0010270297061651945,8.537026587873697e-07,374,374,1
8,int8,0.9999105334281921,0.027166085317730904,0.0011642567114904523,2.9906859708717093e-06,785,785,1
9,int8,0.9999144077301025,0.029118316248059273,0.0013589014997705817,2.5160034056170844e-06,3840,3840,1
10,int8,0.9998910427093506,0.031012943014502525,0.0015053475508466363,1.0166031643166207e-06,315,315,1
11,int8,0.9999366998672485,0.026574095711112022,0.0011135322274640203,7.280659701791592e-07,11050,11050,1
12,int8,0.9999438524246216,0.027505747973918915,0.0012316199718043208,2.3410666472045705e-07,29728,29728,1
13,int8,0.9997292757034302,0.0571221299469471,0.0052576083689928055,2.0016866528749233e-06,3922,3922,1
14,int8,0.9999390840530396,0.029133187606930733,0.0014045709976926446,2.6910074666375294e-06,44378,44378,1
15,int8,0.9999345541000366,0.022637132555246353,0.0008172920788638294,1.319780494668521e-06,374,374,1
0,blocked_int8,0.9999895095825195,0.0,0.0,1.3969838619232178e-08,785,785,1
1,blocked_int8,0.9999369382858276,0.02497846819460392,0.000982383149676025,2.429822416161187e-06,3840,3840,1
2,blocked_int8,0.9999300241470337,0.024365711957216263,0.0009463881724514067,1.975138275156496e-07,315,315,1
3,blocked_int8,0.9999593496322632,0.02456873469054699,0.000956856005359441,1.0400344763183966e-06,11050,11050,1
4,blocked_int8,0.9999368786811829,0.025801483541727066,0.0010911552235484123,2.54890636597338e-07,29728,29728,1
5,blocked_int8,0.9953811168670654,0.2607732117176056,0.10909585654735565,9.362531272927299e-06,3922,3922,1
6,blocked_int8,0.9998915791511536,0.04285129904747009,0.0029959999956190586,3.771856427192688e-06,44378,44378,1
7,blocked_int8,0.9999237060546875,0.025495104491710663,0.0010270297061651945,8.537026587873697e-07,374,374,1
8,blocked_int8,0.9999105334281921,0.027166085317730904,0.0011642567114904523,2.9906859708717093e-06,785,785,1
9,blocked_int8,0.9999144077301025,0.029118316248059273,0.0013589014997705817,2.5160034056170844e-06,3840,3840,1
10,blocked_int8,0.9998910427093506,0.031012943014502525,0.0015053475508466363,1.0166031643166207e-06,315,315,1
11,blocked_int8,0.9999366998672485,0.026574095711112022,0.0011135322274640203,7.280659701791592e-07,11050,11050,1
12,blocked_int8,0.9999438524246216,0.027505747973918915,0.0012316199718043208,2.3410666472045705e-07,29728,29728,1
13,blocked_int8,0.9997292757034302,0.0571221299469471,0.0052576083689928055,2.0016866528749233e-06,3922,3922,1
14,blocked_int8,0.9999390840530396,0.029133187606930733,0.0014045709976926446,2.6910074666375294e-06,44378,44378,1
15,blocked_int8,0.9999345541000366,0.022637132555246353,0.0008172920788638294,1.319780494668521e-06,374,374,1
0,adaptive_recency_k1,0.9999895095825195,0.0,0.0,1.3969838619232178e-08,785,785,1
1,adaptive_recency_k1,0.9950725436210632,0.21721677482128143,0.0783035084605217,9.364675497636199e-05,3840,3840,1
2,adaptive_recency_k1,0.994282066822052,0.22825996577739716,0.08070585876703262,3.603461300372146e-05,315,315,1
3,adaptive_recency_k1,0.9962528944015503,0.2792840600013733,0.12348264455795288,0.0002599188592284918,11050,11050,1
4,adaptive_recency_k1,0.9958810210227966,0.2856333553791046,0.12796254456043243,4.631286719813943e-05,29728,29728,1
5,adaptive_recency_k1,0.9624910354614258,0.7417885661125183,0.8832659125328064,0.00014564716548193246,3922,3922,1
6,adaptive_recency_k1,0.9967131614685059,0.2873249053955078,0.1278764009475708,0.00018928066128864884,44378,44378,1
7,adaptive_recency_k1,0.9957268238067627,0.19771648943424225,0.06165057420730591,9.198941552313045e-05,374,374,1
8,adaptive_recency_k1,0.991970956325531,0.26048514246940613,0.10934417694807053,0.0004288495983928442,785,785,1
9,adaptive_recency_k1,0.9947054386138916,0.23195835947990417,0.08682481944561005,0.00015207599790301174,3840,3840,1
10,adaptive_recency_k1,0.9930020570755005,0.2512929141521454,0.0971951112151146,6.174331065267324e-05,315,315,1
11,adaptive_recency_k1,0.9958328008651733,0.29268383979797363,0.13551098108291626,0.00022124165843706578,11050,11050,1
12,adaptive_recency_k1,0.9953029155731201,0.3163886070251465,0.15369588136672974,4.596277722157538e-05,29728,29728,1
13,adaptive_recency_k1,0.9741727709770203,0.5621156096458435,0.5153130888938904,0.00014918991655576974,3922,3922,1
14,adaptive_recency_k1,0.9962321519851685,0.3165653645992279,0.15409035980701447,0.00022693976643495262,44378,44378,1
15,adaptive_recency_k1,0.9954280853271484,0.20521841943264008,0.06581345945596695,0.00010978708451148123,374,374,1
0,adaptive_recency_k16,0.9999895095825195,0.0,0.0,1.3969838619232178e-08,785,785,1
1,adaptive_recency_k16,0.9950725436210632,0.21721677482128143,0.0783035084605217,9.364675497636199e-05,3840,3840,1
