step,mode,sequence_length,latency_ms,tokens_per_sec,kv_memory_mb,model_forward_ms,importance_scoring_ms,quantization_ms,dequantization_ms,precision_assignment_ms,tensor_copy_relayout_ms
0,baseline,128,74.04962508007884,13.504457300338506,3.5,66.27287506125867,0.0,0.0,0.0,0.0,0.0
1,baseline,128,49.50704099610448,20.199147027968934,3.52734375,49.05229201540351,0.0,0.0,0.0,0.0,0.0
2,baseline,128,50.784958992153406,19.690869498477024,3.5546875,50.30370899476111,0.0,0.0,0.0,0.0,0.0
3,baseline,128,50.02245807554573,19.99102080289145,3.58203125,49.60249993018806,0.0,0.0,0.0,0.0,0.0
4,baseline,128,48.23845892678946,20.730347159673567,3.609375,47.88762493990362,0.0,0.0,0.0,0.0,0.0
5,baseline,128,47.86825005430728,20.890673857211915,3.63671875,47.4967499030754,0.0,0.0,0.0,0.0,0.0
6,baseline,128,46.59966705366969,21.459380790173494,3.6640625,46.25462496187538,0.0,0.0,0.0,0.0,0.0
7,baseline,128,46.87970795203,21.331190907231274,3.69140625,46.527542057447135,0.0,0.0,0.0,0.0,0.0
8,baseline,128,47.001166036352515,21.276067900667858,3.71875,46.635417034849524,0.0,0.0,0.0,0.0,0.0
9,baseline,128,46.54124996159226,21.486315920290945,3.74609375,46.203540987335145,0.0,0.0,0.0,0.0,0.0
10,baseline,128,46.612707898020744,21.453377095958455,3.7734375,46.30820802412927,0.0,0.0,0.0,0.0,0.0
11,baseline,128,47.33841691631824,21.124491800554605,3.80078125,47.01625008601695,0.0,0.0,0.0,0.0,0.0
12,baseline,128,47.41779190953821,21.0891304662132,3.828125,47.113916953094304,0.0,0.0,0.0,0.0,0.0
13,baseline,128,47.122917021624744,21.221097147723246,3.85546875,46.821042080409825,0.0,0.0,0.0,0.0,0.0
14,baseline,128,48.68612496647984,20.53973284356673,3.8828125,48.389374976977706,0.0,0.0,0.0,0.0,0.0
15,baseline,128,47.05829103477299,21.25024045733122,3.91015625,46.73183290287852,0.0,0.0,0.0,0.0,0.0
16,baseline,128,47.069375053979456,21.24523639528236,3.9375,46.76487494725734,0.0,0.0,0.0,0.0,0.0
17,baseline,128,47.12254193145782,21.221266065284677,3.96484375,46.8192920088768,0.0,0.0,0.0,0.0,0.0
18,baseline,128,46.88445804640651,21.32902973966755,3.9921875,46.55962495598942,0.0,0.0,0.0,0.0,0.0
19,baseline,128,47.26649995427579,21.15663315386945,4.01953125,46.960624982602894,0.0,0.0,0.0,0.0,0.0
20,baseline,128,47.50737501308322,21.049363382519168,4.046875,47.21504100598395,0.0,0.0,0.0,0.0,0.0
21,baseline,128,47.292749979533255,21.144890082153545,4.07421875,46.97741591371596,0.0,0.0,0.0,0.0,0.0
22,baseline,128,47.065709019079804,21.246891225937198,4.1015625,46.76708299666643,0.0,0.0,0.0,0.0,0.0
23,baseline,128,47.018166980706155,21.268374847755098,4.12890625,46.71908402815461,0.0,0.0,0.0,0.0,0.0
24,baseline,128,47.0501669915393,21.253909687075563,4.15625,46.75224993843585,0.0,0.0,0.0,0.0,0.0
25,baseline,128,53.196124965325,18.798361735029257,4.18359375,52.81691602431238,0.0,0.0,0.0,0.0,0.0
26,baseline,128,58.449957985430956,17.108652161037597,4.2109375,57.97025002539158,0.0,0.0,0.0,0.0,0.0
27,baseline,128,57.36866709776223,17.43111790092482,4.23828125,56.73950002528727,0.0,0.0,0.0,0.0,0.0
28,baseline,128,59.74412499926984,16.738047465122662,4.265625,59.320666012354195,0.0,0.0,0.0,0.0,0.0
29,baseline,128,56.64854100905359,17.652705298097256,4.29296875,56.038166978396475,0.0,0.0,0.0,0.0,0.0
30,baseline,128,58.98754100780934,16.952732440018313,4.3203125,58.57158300932497,0.0,0.0,0.0,0.0,0.0
31,baseline,128,56.94799998309463,17.559879193243944,4.34765625,56.39837495982647,0.0,0.0,0.0,0.0,0.0
0,int8,128,95.14600003603846,10.510163323957181,1.751708984375,67.21704092342407,0.0,16.459875041618943,10.299207991920412,0.0,0.0
1,int8,128,84.8980420269072,11.778834660086325,1.765594482421875,51.44687497522682,0.0,21.5312079526484,10.87741693481803,0.0,0.0
2,int8,128,60.38387503940612,16.560712596656085,1.779266357421875,43.319125077687204,0.0,7.986375014297664,8.366167079657316,0.0,0.0
3,int8,128,60.81058306153864,16.444506032577053,1.792938232421875,43.876999989151955,0.0,6.495582987554371,9.794541983865201,0.0,0.0
4,int8,128,59.81645791325718,16.717807019769538,1.806610107421875,42.25616704206914,0.0,9.29979095235467,7.677875109948218,0.0,0.0
5,int8,128,54.775499971583486,18.256337240532382,1.820281982421875,42.449833010323346,0.0,5.446415976621211,6.236957968212664,0.0,0.0
6,int8,128,54.86116698011756,18.227829538558918,1.833953857421875,42.05124999862164,0.0,5.372334038838744,6.8512080470100045,0.0,0.0
7,int8,128,55.42800005059689,18.041423090985784,1.847625732421875,42.342540924437344,0.0,6.487834034487605,5.9600831009447575,0.0,0.0
8,int8,128,55.5309159681201,18.00798676856137,1.861297607421875,42.84304101020098,0.0,5.614624940790236,6.502500036731362,0.0,0.0
9,int8,128,57.32466699555516,17.444497323944994,1.874969482421875,44.982583029195666,0.0,5.487249931320548,6.248124991543591,0.0,0.0
10,int8,128,66.94754201453179,14.937068186654823,1.888641357421875,48.74179104808718,0.0,6.52879208792001,10.934208054095507,0.0,0.0
