step,mode,cosine_similarity,mae,mse,kl_divergence,baseline_argmax_token,test_argmax_token,argmax_match
0,baseline,0.9999972581863403,0.0,0.0,0.0,5087,5087,1
1,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
2,baseline,0.9999970197677612,0.0,0.0,0.0,5087,5087,1
3,baseline,0.999997615814209,0.0,0.0,0.0,5087,5087,1
4,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
5,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
6,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
7,baseline,0.999997615814209,0.0,0.0,0.0,5087,5087,1
8,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
9,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
10,baseline,0.999997615814209,0.0,0.0,0.0,5087,5087,1
11,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
12,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
13,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
14,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
15,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
0,int8,0.9999972581863403,0.0,0.0,0.0,5087,5087,1
1,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
2,int8,0.9999970197677612,0.0,0.0,0.0,5087,5087,1
3,int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
4,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
5,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
6,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
7,int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
8,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
9,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
10,int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
11,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
12,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
13,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
14,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
15,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
0,blocked_int8,0.9999972581863403,0.0,0.0,0.0,5087,5087,1
